Europeana, attribution
Europeana, data discovery
Europeana, rights management
Europeana, cross-portal interoperability
Google Data Commons, attribution
Google Data Commons, data discovery
Google Data Commons, source tracking
Google Data Commons, cross-dataset integration
Bio2RDF, attribution
Bio2RDF, data discovery
Bio2RDF, source tracking
Bio2RDF, rights management
Bio2RDF, reproducibility
British Museum ResearchSpace, attribution
British Museum ResearchSpace, source tracking
British Museum ResearchSpace, scholarly citation
British Museum ResearchSpace, knowledge curation
UniProt, attribution
UniProt, source tracking
UniProt, data quality evaluation
UniProt, reproducibility
Wikidata, attribution
Wikidata, source tracking
Wikidata, data quality evaluation
Wikidata, scholarly citation
Wikidata, knowledge curation
Wikidata, cross-dataset integration
EU ODP, attribution
EU ODP, data discovery
EU ODP, rights management
EU ODP, reproducibility
EU ODP, cross-portal interoperability
DBpedia, attribution
DBpedia, data discovery
DBpedia, source tracking
DBpedia, cross-dataset integration
DBpedia, rights management
LOV, attribution
LOV, data discovery
LOV, source tracking
LOV, cross-portal interoperability
LOV, knowledge curation
Nanopublications, attribution
Nanopublications, scholarly citation
Nanopublications, knowledge curation
Nanopublications, reproducibility
Nanopublications, data quality evaluation
Nanopublications, source tracking
